#,Name,Team,Bats,ESPN,YAHOO,G,PA,AB,R,HR,RBI,SB,H,1B,2B,3B,TB,SO,BB,HBP,SF,SH,CS,AVG,OBP,SLG,OPS,BABIP,RazzID
396,Jon Singleton,HOU,L,1B,1B,51,157,135,17.5,5.1,17.0,0.5,29.0,19.0,4.4,0.5,49.8,44.1,19.7,0.6,1.1,0.3,0.1,0.216,0.315,0.370,0.684,0.276,572138
397,Eddie Rosario,LAD,L,OF,OF,51,156,144,16.8,5.1,18.1,2.8,32.2,20.1,6.5,0.6,55.1,38.1,9.4,0.8,1.1,0.3,0.8,0.223,0.272,0.383,0.655,0.266,12155
398,Rob Refsnyder,BOS,R,OF,OF,50,155,135,18.8,4.1,16.4,2.1,34.7,23.7,6.4,0.5,54.4,38.9,15.5,2.6,1.1,0.4,0.6,0.257,0.342,0.403,0.745,0.329,13770
399,Zach McKinstry,DET,L,SS/3B/ OF,2B/SS/ 3B/OF,51,154,139,16.0,2.7,13.5,5.0,32.0,22.8,5.0,1.5,48.1,33.1,12.6,1.4,1.0,0.5,1.3,0.230,0.298,0.346,0.644,0.281,656716
400,Nelson Velazquez,KC,R,OF,OF,51,153,137,17.7,5.7,18.2,2.1,31.1,19.0,5.9,0.6,55.2,41.8,13.1,1.6,1.1,0.3,0.6,0.227,0.299,0.403,0.701,0.280,676369
401,Luis Torrens,NYM,R,C,C,50,152,139,16.4,4.0,15.8,1.4,31.0,20.7,6.1,0.3,49.5,40.1,10.7,1.6,1.1,0.5,0.4,0.223,0.284,0.356,0.640,0.282,620443
402,Jared Triolo,PIT,R,2B/3B,1B/2B/ SS/3B,51,152,133,15.4,2.4,13.2,2.8,32.2,23.5,5.8,0.5,46.4,38.7,15.4,1.5,1.1,0.4,0.7,0.242,0.324,0.348,0.672,0.319,669707
403,Daniel Schneemann,CLE,L,SS/OF,2B/SS/ 3B/OF,51,152,134,15.6,3.0,13.9,2.5,29.5,18.5,7.4,0.5,47.0,41.2,15.4,0.9,1.1,0.4,0.7,0.219,0.300,0.350,0.650,0.290,682177
404,Alexander Canario,CHC,R,OF,OF,51,150,135,17.0,5.6,16.9,2.1,29.1,17.7,5.5,0.4,52.2,47.5,11.6,1.5,1.0,0.4,0.6,0.216,0.283,0.387,0.670,0.284,672744
405,Travis Bazzana,CLE,L,2B,2B,51,150,137,12.9,2.2,11.5,2.2,26.2,18.5,5.2,0.3,38.6,41.6,9.5,1.8,1.1,0.4,0.6,0.191,0.250,0.281,0.530,0.253,683953
406,Yuli Gurriel,FA,R,1B,1B,50,149,135,15.9,2.9,14.9,2.0,34.0,23.7,6.9,0.5,50.5,27.0,11.7,1.2,1.0,0.3,0.5,0.252,0.314,0.374,0.689,0.293,19198
407,Carlos Narvaez,BOS,R,C,C,50,149,130,16.1,3.2,13.7,1.6,28.0,19.2,5.3,0.2,43.3,44.2,15.2,2.0,1.0,0.4,0.4,0.215,0.304,0.334,0.637,0.296,665966
408,Javier Sanoja,MIA,R,3B,3B,51,149,137,15.1,1.6,13.2,3.4,35.8,26.0,7.3,0.9,49.6,14.4,9.9,0.9,1.0,0.5,1.1,0.261,0.312,0.362,0.674,0.279,691594
409,Ezequiel Duran,TEX,R,3B/OF,1B/SS/ 3B/OF,51,148,138,16.4,3.6,16.2,2.5,34.7,23.5,7.0,0.6,53.7,34.4,7.8,1.3,1.1,0.4,0.8,0.252,0.296,0.391,0.686,0.309,677649
