"last_name, first_name","player_id","year","player_age"
"Uribe, Abner",682842,2024,24
"Taylor, Troy",700187,2024,22
"Junis, Jakob",596001,2024,31
"Manoah, Alek",666201,2024,26
"Gomber, Austin",596295,2024,30
"Green, Chad",643338,2024,33
"Sammons, Bryan",676614,2024,29
"Minter, A.J.",621345,2024,30
"Guenther, Sean",674944,2024,28
"Faucher, Calvin",676534,2024,28
"Staumont, Josh",622251,2024,30
"Gaddis, Hunter",683769,2024,26
"Mayza, Tim",641835,2024,32
"Schmidt, Clarke",657376,2024,28
"Allard, Kolby",663465,2024,26
"Daniel, Davis",669721,2024,27
"Sánchez, Sixto",664350,2024,25
"Hurter, Brant",676428,2024,25
"Peralta, Wandy",593974,2024,32
"Baumann, Mike",657508,2024,28
"Crawford, Kutter",676710,2024,28
"Uceta, Edwin",670955,2024,26
"Ray, Robbie",592662,2024,32
"Musgrove, Joe",605397,2024,31
"Frías, Luis",666818,2024,26
"Yarbrough, Ryan",642232,2024,32
"Beede, Tyler",595881,2024,31
"Sauer, Matt",669422,2024,25
"Mahle, Tyler",641816,2024,29
"Schreiber, John",670167,2024,30
"Stone, Gavin",694813,2024,25
"Rocker, Kumar",677958,2024,24
"Baker, Bryan",641329,2024,29
"García, Luis",472610,2024,37
"García, Yimi",554340,2024,33
"Thompson, Ryan",657044,2024,32
"Kirby, George",669923,2024,26
"Merryweather, Julian",657240,2024,32
"Bigge, Hunter",685801,2024,26
"Curry, Xzavion",675540,2024,25
"Hicks, Jordan",663855,2024,27
"Burke, Sean",680732,2024,24
"Cabrera, Edward",665795,2024,26
"Helsley, Ryan",664854,2024,29
"Scott, Christian",681035,2024,25
"Jansen, Kenley",445276,2024,36
"Pressly, Ryan",519151,2024,35
"Falter, Bailey",663559,2024,27
"Poche, Colin",621363,2024,30
"Williams, Gavin",668909,2024,24
"Contreras, Roansy",672710,2024,24
"Wilson, Bryse",669060,2024,26
"Miller, Bobby",676272,2024,25
"Hancock, Emerson",676106,2024,25
"Javier, Cristian",664299,2024,27
"Thompson, Keegan",624522,2024,29
"Rainey, Tanner",663432,2024,31
"Houser, Adrian",605288,2024,31
"Anderson, Chase",502624,2024,36
"Ferguson, Tyler",621053,2024,30
"Bido, Osvaldo",674370,2024,28
"Boyle, Joe",671212,2024,24
"Suarez, José",660761,2024,26
"Morgan, Eli",669212,2024,28
"Thorpe, Drew",689672,2024,23
"Scherzer, Max",453286,2024,39
"Wells, Tyler",669330,2024,29
